,index,ground true,Wav2Vec2_ft,Wav2Vec2_ft_mt,Wav2Vec2_ft_mt_ss,Wav2Vec2_ft_mt_ss_focal
0,ah,0.09278102440701272,0.09468103300838036,0.09669654099696319,0.09626806742884608,0.09613727990076151
1,ih,0.060983155723616365,0.061091157858730975,0.06258795644767054,0.06080269166065849,0.060473450260156436
2,n,0.06060501890684084,0.06187788609543356,0.062180579216354344,0.06193566107048443,0.062092967161710484
3,s,0.0571674114816088,0.05814947836497349,0.055440337752759056,0.057335118618463965,0.058888391165018435
4,t,0.055895496734272944,0.05965452368736104,0.05688467520924376,0.0593607305936073,0.05902622239068261
5,d,0.055689240288759025,0.05702069437318283,0.055958817865343305,0.05736945102482233,0.05668309155439165
6,iy,0.04802337573049158,0.04651958269197879,0.0469224501888749,0.04617708655199643,0.04641466524241067
7,r,0.03602612581643176,0.03653155464340688,0.03459003036812088,0.035568372987262675,0.03538816718927673
8,l,0.03496046751460983,0.03690781597400376,0.036293607880897714,0.036598345178013525,0.036421901381758034
9,eh,0.031041595049845307,0.029245767060030785,0.028701577660914007,0.02921687781096577,0.02897901519589263
10,m,0.029941560673771055,0.030203523174277408,0.029738537886082512,0.030315514814433342,0.030322869646118328
11,w,0.029391543485733928,0.029416794937574826,0.029331160654766313,0.028907886153740514,0.029495882292133284
12,hh,0.029013406668958405,0.029040533606977937,0.029405229242278348,0.0290108833728156,0.028944557389476586
13,ae,0.028119628738398076,0.02767231058662562,0.029738537886082512,0.027225598242180793,0.027497329520002757
14,k,0.027225850807837744,0.02767231058662562,0.02714613732316125,0.02756892230576441,0.027497329520002757
15,f,0.025266414575455483,0.02356764152556867,0.023405673653803423,0.02279671782195214,0.022983356879501052
16,ao,0.022653832932279135,0.018778860954335556,0.018554181171765053,0.017681189274556253,0.01888287791599187
17,er,0.02052251632863527,0.022336240807251582,0.022368713428634918,0.022350396539293438,0.021777333654939526
18,p,0.01949123410106566,0.01973661706858218,0.019331901340641434,0.02011879012599993,0.020054443334137348
19,ay,0.01873496046751461,0.018676244227809134,0.01962817569068958,0.01888282349709891,0.018986251335239998
20,ey,0.0178755586112066,0.017957927142124165,0.020072587215761797,0.01864249665259038,0.018986251335239998
21,uw,0.017531797868683398,0.01874465537882675,0.018554181171765053,0.018573831839873656,0.01871058888391165
22,b,0.017394293571674116,0.017615871387036085,0.017369083771572476,0.01761252446183953,0.0176423968850143
23,z,0.01708490890340323,0.01576877030956046,0.016480260721428042,0.016685549490163765,0.015264808242307295
24,v,0.016775524235132348,0.018813066529844366,0.018406043996740982,0.019432141998832697,0.019158540367320218
25,aa,0.013681677552423513,0.0129297075423294,0.012591659877046144,0.012531328320802004,0.012542641535439854
26,ng,0.012959779993124785,0.012279801607662049,0.012739797052070217,0.012325333882651834,0.012335894696943593
27,ow,0.012306634582330698,0.015460920129981187,0.015517369083771573,0.01572424211212964,0.015368181661555425
28,dh,0.011997249914059814,0.01357961347699675,0.014147100214798904,0.014591272702303704,0.014265531856242032
29,sh,0.011825369542798213,0.011869334701556353,0.012443522702022073,0.01160435334912624,0.011715654181454808
30,g,0.009590924716397388,0.009406533264922183,0.009962225020368861,0.009716070999416349,0.009751559215740327
31,ch,0.00880027500859402,0.007969899093552248,0.00785127027627583,0.008033783087856627,0.007994211088522104
32,y,0.008422138191818494,0.008722421754746024,0.008184578920079994,0.008445771964156967,0.008511078184762757
33,uh,0.007115847370230319,0.006088592440567813,0.006629138582327235,0.006523157208088715,0.006719272251128493
34,aw,0.006187693365417669,0.006772703950743971,0.00729575586993556,0.007003810897105778,0.007098308121704972
35,th,0.005293915434857339,0.004994014024285958,0.005221835419598548,0.005287190579187695,0.00513421315599049
36,jh,0.0036094877964936403,0.0049256028732683425,0.005036663950818458,0.0048408692965289934,0.004720719478997967
37,r*,0.0034376074252320385,0.0034205575508807935,0.0032590178505295902,0.0034675730421945272,0.003376865028772268
38,t*,0.002750085940185631,0.00013682230203523174,0.0,0.0,0.0
39,oy,0.0016844276383636988,0.0017444843509492047,0.0017776461002888674,0.0017509527242764444,0.0017573481272182214
40,zh,0.0015125472671020969,0.0012656062938258936,0.0014443374564847048,0.0014419610670511895,0.0015850590951380036
41,d*,0.0014437951185974562,0.0001710278775440397,0.0,3.4332406358361656e-05,0.00010337341924813067
42,err,0.0012031625988312134,6.841115101761587e-05,0.0,0.0,3.445780641604355e-05
43,l*,0.001065658301821932,3.4205575508807936e-05,0.0,0.0,0.0
44,er*,0.0008250257820556893,3.4205575508807936e-05,0.0,0.0,0.0
45,n*,0.0006187693365417669,0.0,0.0,0.0,0.0
46,w*,0.0005843932622894466,3.4205575508807936e-05,0.0,0.0,0.0
47,v*,0.0005843932622894466,0.0,0.0,0.0,0.0
48,aa*,0.0005156411137848057,0.0001710278775440397,0.00011110288126805421,0.00017166203179180828,0.00017228903208021777
49,ow*,0.0003781368167755242,3.4205575508807936e-05,0.0,0.0,0.0
50,p*,0.00034376074252320387,0.0001026167265264238,0.0,0.0,0.0
51,hh*,0.00020625644551392232,0.0001026167265264238,0.0,6.866481271672331e-05,0.00010337341924813067
52,eh*,0.00017188037126160193,0.0,0.0,0.0,0.0
53,k*,0.00017188037126160193,0.0,0.0,0.0,0.0
54,ae*,0.00013750429700928155,0.0,0.0,0.0,0.0
55,g*,6.875214850464078e-05,0.0,0.0,0.0,0.0
56,ao*,6.875214850464078e-05,0.0,0.0,0.0,0.0
57,ah*,6.875214850464078e-05,0.0,0.0,0.0,0.0
58,ey*,6.875214850464078e-05,0.0,0.0,0.0,0.0
59,y*,3.437607425232039e-05,0.0,0.0,0.0,0.0
60,b*,3.437607425232039e-05,0.0,0.0,0.0,0.0
61,uh*,3.437607425232039e-05,0.0,0.0,0.0,0.0
